,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
40,110.0,20240805_1_00035.mp4,1299.0,1300.0,0,0.0,1.0,164.16,2.0,20240805,1,8.416666666666666,cmra
41,111.0,20240805_1_00035.mp4,1301.0,1317.0,0,0.0,1.0,164.16,17.0,20240805,1,8.416666666666666,cmra
42,113.0,20240805_1_00035.mp4,1303.0,1352.0,0,0.0,1.0,164.16,50.0,20240805,1,8.416666666666666,cmra
43,116.0,20240805_1_00035.mp4,1325.0,1387.0,0,0.0,0.9508196721311475,164.16,63.0,20240805,1,8.416666666666666,cmra
44,117.0,20240805_1_00035.mp4,1348.0,1374.0,0,0.0,1.0,164.16,27.0,20240805,1,8.416666666666666,cmra
45,118.0,20240805_1_00035.mp4,1349.0,1417.0,1,2.0,0.9841269841269841,164.16,69.0,20240805,1,8.416666666666666,cmra
46,125.0,20240805_1_00035.mp4,1377.0,1377.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
47,126.0,20240805_1_00035.mp4,1383.0,1383.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
48,127.0,20240805_1_00035.mp4,1388.0,1388.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
49,130.0,20240805_1_00035.mp4,1392.0,1436.0,0,0.0,0.8666666666666667,164.16,45.0,20240805,1,8.416666666666666,cmra
50,132.0,20240805_1_00035.mp4,1395.0,1400.0,0,0.0,1.0,164.16,6.0,20240805,1,8.416666666666666,cmra
51,140.0,20240805_1_00035.mp4,1437.0,2667.0,33,239.0,0.369702434625789,164.16,1231.0,20240805,1,8.416666666666666,cmra
52,149.0,20240805_1_00035.mp4,1864.0,1866.0,0,0.0,1.0,164.16,3.0,20240805,1,8.416666666666666,cmra
53,151.0,20240805_1_00035.mp4,1868.0,1993.0,0,0.0,0.45454545454545453,164.16,126.0,20240805,1,8.416666666666666,cmra
54,154.0,20240805_1_00035.mp4,1908.0,2129.0,2,24.0,0.273972602739726,164.16,222.0,20240805,1,8.416666666666666,cmra
55,155.0,20240805_1_00035.mp4,1908.0,1929.0,0,0.0,0.55,164.16,22.0,20240805,1,8.416666666666666,cmra
56,157.0,20240805_1_00035.mp4,1911.0,1926.0,0,0.0,0.9333333333333333,164.16,16.0,20240805,1,8.416666666666666,cmra
57,159.0,20240805_1_00035.mp4,1914.0,1918.0,0,0.0,0.8,164.16,5.0,20240805,1,8.416666666666666,cmra
58,168.0,20240805_1_00035.mp4,1958.0,1959.0,0,0.0,1.0,164.16,2.0,20240805,1,8.416666666666666,cmra
59,175.0,20240805_1_00035.mp4,1970.0,2050.0,0,0.0,0.7901234567901234,164.16,81.0,20240805,1,8.416666666666666,cmra
60,180.0,20240805_1_00035.mp4,1997.0,2105.0,1,2.0,0.3944954128440367,164.16,109.0,20240805,1,8.416666666666666,cmra
61,182.0,20240805_1_00035.mp4,2021.0,2474.0,10,40.0,0.12853470437017994,164.16,454.0,20240805,1,8.416666666666666,cmra
62,192.0,20240805_1_00035.mp4,2131.0,2374.0,3,80.0,0.453551912568306,164.16,244.0,20240805,1,8.416666666666666,cmra
63,197.0,20240805_1_00035.mp4,2162.0,2164.0,0,0.0,0.6666666666666666,164.16,3.0,20240805,1,8.416666666666666,cmra
64,201.0,20240805_1_00035.mp4,2181.0,2192.0,0,0.0,0.8888888888888888,164.16,12.0,20240805,1,8.416666666666666,cmra
65,204.0,20240805_1_00035.mp4,2187.0,2194.0,0,0.0,0.6666666666666666,164.16,8.0,20240805,1,8.416666666666666,cmra
66,205.0,20240805_1_00035.mp4,2189.0,2199.0,0,0.0,0.5,164.16,11.0,20240805,1,8.416666666666666,cmra
67,215.0,20240805_1_00035.mp4,2264.0,2286.0,0,0.0,0.2,164.16,23.0,20240805,1,8.416666666666666,cmra
68,216.0,20240805_1_00035.mp4,2290.0,2322.0,0,0.0,0.9285714285714286,164.16,33.0,20240805,1,8.416666666666666,cmra
69,217.0,20240805_1_00035.mp4,2303.0,2308.0,1,5.0,0.5,164.16,6.0,20240805,1,8.416666666666666,cmra
