Videoname,Birds_per_video,Frames_per_video
20241129_5_00508,1,1
20241129_training_00500,1,1
20241129_training_00513,1,1
20241202_5_00534,2,2
20241202_5_00535,1,1
20241202_5_00539,1,1
20241202_6_00545,7,4
20241202_6_00547,7,4
20241204_3_00582,1,1
20241204_3_00583,5,3
20241204_3_00585,2,1
20241204_4_00589,2,2
20241204_4_00591,1,1
20241204_6_00614,3,3
20241204_7_00618,2,1
20241204_training_00626,2,1
20241206_4_00644,3,3
20241206_4_00646,2,2
20241206_5_00655,13,7
20241206_5_00658,4,2
20241206_5_00660,2,2
20241206_5_00662,3,3
20241206_5_00667,1,1
20241206_5_00671,1,1
20241206_5_00676,1,1
20241206_5_00680,1,1
20241206_training_00636,3,3
20241206_training_00650,1,1
20241206_training_00685,1,1
20241209_2_00699,2,2
20241209_6_00722,1,1
20241209_training_00707,1,1
20241209_training_00728,3,3
20241210_training_00732,1,1
20241210_training_00735,2,2
20241210_training_00741,1,1
20241210_training_00745,2,2
20241210_training_00746,1,1
20241211_1_00748,4,3
20241211_2_00764,3,3
20241211_2_00765,1,1
20241211_2_00767,6,3
20241211_4_00784,1,1
20241211_4_00787,1,1
20241211_4_00789,1,1
20241211_4_00790,1,1
20241211_5_00795,2,2
20241211_5_00799,3,2
20241211_training_00791,1,1
20241211_training_00805,2,2
20241212_training_00811,1,1
20241212_training_00816,1,1
20241212_training_00821,1,1
20241212_training_00822,3,3
20241212_training_00825,1,1
20241213_1_00841,1,1
20241213_1_00842,2,2
20241213_2_00847,1,1
20241213_3_00853,1,1
20241213_3_00855,1,1
20241213_5_00862,2,2
20241213_5_00869,1,1
20241213_6_00873,3,3
20241213_6_00874,7,7
20241213_6_00876,1,1
20241213_6_00878,3,3
20241213_6_00879,1,1
20241213_6_00880,1,1
20241213_6_00884,2,2
20241213_training_00889,1,1
20241213_training_00891,26,12
20241213_training_00892,1,1
20241215_1_00895,25,11
20241215_1_00896,1,1
20241215_2_00897,1,1
20241215_5_00915,4,2
20241215_5_00916,1,1
20241215_5_00917,32,17
20241216_training_00924,2,2
20241216_training_00927,6,2
20241216_training_00928,10,10
20241216_training_00931,1,1
20241216_training_00933,2,2
20241217_training_00942,1,1
20241217_training_00943,2,2
20241217_training_00948,2,2
20241217_training_00949,2,1
20241217_training_00952,2,2
20241217_training_00954,2,2
20241217_training_00968,1,1
20241217_training_00972,13,11
20241217_training_00973,4,4
20241217_training_00974,2,2
20241217_training_00975,1,1
20241217_training_00980,4,4
20241217_training_00984,1,1
20241218_4_01002,13,7
20241218_5_01013,1,1
20241218_7_01021,4,4
20241218_training_01030,4,3
20241218_training_01037,1,1
20241218_training_01046,1,1
20241218_training_01050,1,1
20241218_training_01054,1,1
20241218_training_01058,12,9
20241218_training_01059,1,1
20241218_training_01060,2,2
20241218_training_01061,9,4
20241218_training_01066,2,1
20241218_training_01067,1,1
20241219_training_01075,2,2
20241219_training_01080,5,5
20241219_training_01082,1,1
20241219_training_01085,3,3
20241219_training_01104,1,1
20241219_training_01107,1,1
20241219_training_01109,1,1
20241219_training_01110,5,5
20241219_training_01131,1,1
20241219_training_01132,1,1
20241219_training_01133,6,5
20241219_training_01134,2,2
20241219_training_01135,4,4
20241219_training_01136,1,1
20241219_training_01144,1,1
20241219_training_01145,2,2
20241220_2_01164,1,1
20241220_2_01168,2,2
20241220_2_01169,1,1
20241220_2_01170,1,1
20241220_3_01174,1,1
20241220_6_01190,2,2
20241220_6_01192,1,1
20241220_7_01199,1,1
20241220_7_01200,6,6
20241220_training_01180,8,4
20241220_training_01181,2,2
20241220_training_01207,3,3
20241220_training_01210,1,1
20241220_training_01216,1,1
20241220_training_01217,4,4
20241220_training_01218,2,2
20241220_training_01222,1,1
20241220_training_01227,1,1
20241220_training_01230,6,4
20241220_training_01231,4,3
20241220_training_01232,1,1
20241223_1_01235,6,3
20241223_1_01236,3,3
20241223_1_01237,2,2
20241223_1_01238,1,1
20241223_2_01241,2,2
20241223_2_01242,8,5
20241223_2_01243,18,11
20241223_2_01244,9,8
20241223_2_01245,1,1
20241223_4_01255,1,1
20241223_4_01257,1,1
20241223_5_01262,1,1
20241223_5_01264,3,3
20241223_5_01267,1,1
20241223_7_01271,3,3
20241223_training_01266,1,1
20241223_training_01280,2,2
20241223_training_01281,1,1
20241223_training_01291,4,3
20241223_training_01294,2,2
20241223_training_01296,1,1
20241223_training_01301,1,1
20241223_training_01305,7,4
20241224_training_01311,5,5
20241224_training_01320,2,2
20241224_training_01330,5,5
20241224_training_01332,1,1
20241224_training_01333,22,14
20241224_training_01334,1,1
20241224_training_01344,1,1
20241224_training_01345,4,4
20241224_training_01347,4,3
20241224_training_01349,1,1
20241225_4_01373,1,1
20241225_4_01376,1,1
20241225_4_01380,1,1
20241225_4_01382,1,1
20241225_6_01384,22,14
20241225_6_01385,2,2
20241225_6_01386,1,1
20241225_6_01390,2,2
20241225_6_01392,2,2
20241225_8_01397,2,2
20241225_8_01398,1,1
20241225_8_01401,1,1
20241225_8_01407,3,3
20241225_training_01379,1,1
20241226_training_01411,1,1
20241226_training_01412,1,1
20241226_training_01416,8,8
20241226_training_01420,18,18
20241227_1_01424,1,1
20241227_1_01427,6,3
20241227_4_01439,5,5
20241227_5_01447,8,8
